2457023.1665401333 -1.4655415713787079 INDEF 21.085 INDEF
2457023.168079341 -1.465749442577362 22.245 INDEF 21.894
2457023.1702203434 -1.4660391211509705 17.576 15.018 14.694
2457023.1718174154 -1.4662550389766693 17.564 14.969 14.643
2457023.173414488 -1.4664709568023682 17.602 14.979 14.652
2457023.17501156 -1.466686874628067 17.582 14.956 14.633
2457023.1765970597 -1.4669007807970047 17.672 14.990 14.665
2457023.1781941317 -1.4671166986227036 17.670 14.978 14.649
2457023.179791204 -1.4673326164484024 17.676 14.997 14.670
2457023.1813882766 -1.4675485342741013 17.681 14.987 14.659
2457023.1829853486 -1.4677644520998 17.655 14.975 14.648
2457023.184582421 -1.467980369925499 17.652 14.980 14.651
2457023.186179493 -1.4681962877511978 17.731 15.012 14.685
2457023.1877765656 -1.4684122055768967 17.648 14.962 14.635
2457023.189362065 -1.468626782298088 17.634 14.972 14.649
2457023.190959137 -1.468842700123787 17.661 15.000 14.682
2457023.1925562094 -1.4690586179494858 17.558 14.914 14.589
2457023.1941532814 -1.4692745357751846 17.594 14.944 14.621
2457023.195750354 -1.4694904536008835 17.526 14.906 14.585
2457023.1973474263 -1.4697063714265823 17.539 14.949 14.626
2457023.1989444983 -1.4699222892522812 17.489 14.919 14.597
2457023.200541571 -1.47013820707798 17.502 14.935 14.614
2457023.2021270697 -1.4703527837991714 17.452 14.946 14.621
2457023.2037241426 -1.4705680310726166 17.416 14.913 14.591
2457023.2053212146 -1.4707839488983154 17.437 14.951 14.626
2457023.206918287 -1.4709998667240143 17.395 14.958 14.630
2457023.2085153596 -1.4712157845497131 17.375 14.948 14.623
2457023.2101124316 -1.471431702375412 17.309 14.933 14.609
2457023.211709504 -1.4716476202011108 17.292 14.923 14.597
2457023.2133065765 -1.4718635380268097 17.249 14.918 14.581
2457023.2148920754 -1.472078114748001 17.271 14.914 14.592
2457023.216489148 -1.4722940325737 17.270 14.933 14.611
2457023.21808622 -1.4725099503993988 17.245 14.934 14.607
2457023.2196832923 -1.4727258682250977 17.179 14.898 14.582
2457023.2212803643 -1.4729417860507965 17.212 14.906 14.584
2457023.222877437 -1.4731577038764954 17.189 14.916 14.595
2457023.2244745092 -1.4733736217021942 17.160 14.908 14.579
2457023.2260715812 -1.473589539527893 17.176 14.926 14.597
2457023.2276686537 -1.473805457353592 17.172 14.924 14.600
2457023.229254153 -1.4740193635225296 17.201 14.948 14.626
2457023.2308512256 -1.4742352813482285 17.146 14.925 14.598
2457023.2324482976 -1.4744511991739273 17.176 14.937 14.611
2457023.23404537 -1.4746671169996262 17.150 14.907 14.583
2457023.2356424425 -1.474883034825325 17.126 14.930 14.604
2457023.2372395145 -1.4750989526510239 17.137 14.934 14.610
2457023.238836587 -1.4753148704767227 17.145 14.944 14.617
2457023.2404336594 -1.4755307883024216 17.167 14.973 14.645
2457023.242019159 -1.4757446944713593 17.128 14.947 14.619
2457023.2436162313 -1.475960612297058 17.133 14.938 14.608
2457023.2452133032 -1.476176530122757 17.117 14.942 14.616
2457023.2468103757 -1.4763924479484558 17.157 14.952 14.630
2457023.2484074477 -1.4766083657741547 17.139 14.945 14.622
2457023.25000452 -1.4768242835998535 17.114 14.938 14.611
2457023.2516015926 -1.4770402014255524 17.087 14.917 14.595
2457023.2531986646 -1.4772561192512512 17.070 14.911 14.590
2457023.2547841645 -1.477470025420189 17.072 14.930 14.599
2457023.2563812365 -1.4776859432458878 17.067 14.904 14.581
2457023.257978309 -1.4779018610715866 17.055 14.905 14.581
2457023.259575381 -1.4781177788972855 17.051 14.896 14.572
2457023.2611724534 -1.4783336967229843 17.014 14.887 14.565
2457023.262769526 -1.4785496145486832 17.021 14.885 14.555
2457023.264366598 -1.478765532374382 17.027 14.892 14.565
2457023.2659636703 -1.4789814502000809 17.009 14.868 14.541
2457023.267560743 -1.4791973680257797 17.031 14.893 14.570
2457023.269146242 -1.4794112741947174 17.040 14.900 14.572
2457023.2707433146 -1.4796271920204163 17.094 14.954 14.628
2457023.2723403866 -1.4798431098461151 17.007 14.872 14.550
2457023.273937459 -1.480059027671814 16.991 14.870 14.543
2457023.275534531 -1.4802749454975128 17.039 14.894 14.570
2457023.2771316036 -1.4804908633232117 17.052 14.895 14.568
2457023.278728676 -1.4807067811489105 17.057 14.897 14.571
2457023.280325748 -1.4809226989746094 17.041 14.879 14.555
2457023.281911248 -1.481136605143547 17.025 14.878 14.552
2457023.28350832 -1.481352522969246 17.040 14.877 14.556
2457023.2851053923 -1.4815684407949448 17.064 14.901 14.577
2457023.2867024643 -1.4817843586206436 17.052 14.876 14.555
2457023.288299537 -1.4820002764463425 17.082 14.899 14.575
2457023.2898966097 -1.4822155237197876 17.096 14.904 14.582
2457023.2914936817 -1.4824314415454865 17.121 14.943 14.617
2457023.293090754 -1.4826473593711853 17.125 14.926 14.603
2457023.2946878267 -1.4828632771968842 17.204 14.973 14.651
2457023.2962733256 -1.4830778539180756 17.267 15.045 14.711
2457023.297870398 -1.4832937717437744 17.500 15.283 14.943
2457023.2994674705 -1.4835090190172195 17.699 15.481 15.171
2457023.301064543 -1.4837249368429184 17.995 15.765 15.463
2457023.302661615 -1.4839408546686172 18.014 15.825 15.468
2457023.3042586874 -1.484156772494316 17.280 15.034 14.715
2457023.30585576 -1.484372690320015 17.367 15.104 14.780
2457023.307452832 -1.4845886081457138 17.427 15.187 14.862
2457023.3090383317 -1.4848025143146515 17.301 15.011 14.681
2457023.3106354037 -1.4850184321403503 17.314 15.060 14.733
2457023.312232476 -1.4852343499660492 17.345 15.081 14.746
2457023.3138295487 -1.485450267791748 17.638 15.335 14.982
2457023.3154266207 -1.485666185617447 17.928 15.579 15.249
2457023.317023693 -1.4858821034431458 17.832 15.524 15.199
2457023.3186207656 -1.4860973507165909 17.621 15.295 14.967
2457023.320217838 -1.4863132685422897 17.586 15.228 14.896
2457023.321803337 -1.4865278452634811 17.599 15.196 14.872
2457023.3234004094 -1.48674376308918 17.674 15.319 14.986
2457023.324997482 -1.4869596809148788 17.690 15.267 14.946
2457023.3265945544 -1.487174928188324 17.660 15.161 14.829
2457023.328191627 -1.4873908460140228 17.497 15.035 14.707
2457023.329788699 -1.4876067638397217 17.426 14.967 14.636
2457023.3313857713 -1.4878226816654205 17.466 14.954 14.626
2457023.3329828437 -1.4880385994911194 17.521 14.986 14.658
2457023.3345799157 -1.4882545173168182 17.988 15.441 15.119
2457023.3361654156 -1.488468423485756 18.395 15.857 15.516
2457023.3377624876 -1.4886843413114548 18.651 15.976 15.625
2457023.33935956 -1.4889002591371536 19.664 17.368 17.182
2457023.3409797787 -1.4891188591718674 19.674 17.347 17.093
2457023.3425768507 -1.4893347769975662 18.659 15.824 15.499
2457023.344173923 -1.489550694823265 17.881 15.140 14.815
2457023.3457709956 -1.489766612648964 17.903 15.093 14.771
2457023.3473680676 -1.4899825304746628 17.794 15.047 14.715
2457023.3489651405 -1.490197777748108 17.818 15.024 14.703
2457023.3505506394 -1.4904123544692993 17.776 14.999 14.681
2457023.352147712 -1.4906282722949982 17.766 15.012 14.692
2457023.3537447844 -1.4908435195684433 17.741 15.012 14.690
2457023.355341857 -1.4910594373941422 17.770 15.013 14.689
2457023.3569389293 -1.491275355219841 17.754 15.007 14.688
2457023.3585360013 -1.4914912730455399 17.745 15.006 14.681
2457023.3601330738 -1.4917071908712387 17.774 15.023 14.701
2457023.361730146 -1.4919231086969376 17.771 15.035 14.708
2457023.3633156456 -1.4921370148658752 17.743 15.016 14.699
2457023.364912718 -1.492352932691574 17.717 15.014 14.695
2457023.36650979 -1.492568850517273 17.705 15.023 14.699
2457023.368106863 -1.492784097790718 17.651 15.000 14.684
2457023.369703935 -1.493000015616417 17.658 15.027 14.705
2457023.3713010075 -1.4932159334421158 17.647 15.044 14.723
2457023.37289808 -1.4934318512678146 17.555 15.014 14.689
2457023.374495152 -1.4936477690935135 17.542 15.010 14.692
2457023.376080652 -1.4938616752624512 17.538 15.017 14.695
2457023.3776777238 -1.49407759308815 17.495 15.020 14.698
2457023.379274796 -1.4942935109138489 17.482 15.031 14.710
2457023.3808718687 -1.494508758187294 17.490 15.058 14.738
2457023.382468941 -1.4947246760129929 17.500 15.099 14.774
2457023.3840660136 -1.4949405938386917 17.515 15.124 14.801
2457023.3856630856 -1.4951565116643906 17.434 15.100 14.779
2457023.387260158 -1.4953724294900894 17.426 15.080 14.753
2457023.388857231 -1.4955876767635345 17.456 15.102 14.779
2457023.39044273 -1.495802253484726 17.391 15.091 14.767
2457023.3920398024 -1.4960181713104248 17.348 15.063 14.738
2457023.393636875 -1.49623341858387 17.338 15.063 14.740
2457023.3952339473 -1.4964493364095688 17.387 15.104 14.779
2457023.3968310193 -1.4966652542352676 17.419 15.159 14.835
2457023.398428092 -1.4968811720609665 17.358 15.109 14.784
